"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelMedicationPrescription.statusReason","BeModelMedicationPrescription.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the current status of prescription, for example the reason why the prescription was made invalid","Reason for the current status of prescription, for example the reason why the prescription was made invalid","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.statusReason",0,*,"",""
"BeModelMedicationPrescription.category","BeModelMedicationPrescription.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.category",0,*,"",""
"BeModelMedicationPrescription.validFrom","BeModelMedicationPrescription.validFrom","","","",0,1,"","","","dateTime {[]} {[]}
","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.validFrom",0,1,"",""
"BeModelMedicationPrescription.validUntil","BeModelMedicationPrescription.validUntil","","","",0,1,"","","","dateTime {[]} {[]}
","The validity period end date. The prescription is not dispensable after this date.","The validity period end date. The prescription is not dispensable after this date.","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.validUntil",0,1,"",""
"BeModelMedicationPrescription.basedOnMedicationLine","BeModelMedicationPrescription.basedOnMedicationLine","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/BeModelMedicationLine]]}
","Link to the Medication Line from which this request is based","Link to the Medication Line from which this request is based","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.basedOnMedicationLine",0,1,"",""
"BeModelMedicationPrescription.medication","BeModelMedicationPrescription.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/BeModelMedication]]}
","Prescribed product, branded, generic, virtual, extemporaneous, etc","Prescribed product, branded, generic, virtual, extemporaneous, etc","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.medication",1,1,"",""
"BeModelMedicationPrescription.indication","BeModelMedicationPrescription.indication","","","",0,*,"","","","BackboneElement {[]} {[]}
","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.indication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelMedicationPrescription.indication.id","BeModelMedicationPrescription.indication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelMedicationPrescription.indication.extension","BeModelMedicationPrescription.indication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelMedicationPrescription.indication.modifierExtension","BeModelMedicationPrescription.indication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelMedicationPrescription.indication.reference","BeModelMedicationPrescription.indication.reference","","","",0,*,"","","","Reference {[]} {[]}
","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.indication.reference",0,*,"",""
"BeModelMedicationPrescription.indication.code","BeModelMedicationPrescription.indication.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason or text for the prescription (typically diagnosis, or a procedure)","Reason or text for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.indication.code",0,*,"",""
"BeModelMedicationPrescription.dosage","BeModelMedicationPrescription.dosage","","","",1,*,"","","","https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/BeModelDosagingInformation {[]} {[]}
","Dosaging and administration instructions","Dosaging and administration instructions","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.dosage",1,*,"",""
"BeModelMedicationPrescription.dispenseRequest","BeModelMedicationPrescription.dispenseRequest","","","",0,1,"","","","BackboneElement {[]} {[]}
","Dispense Request or authorization for the prescribed medication","Dispense Request or authorization for the prescribed medication","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.dispenseRequest",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelMedicationPrescription.dispenseRequest.id","BeModelMedicationPrescription.dispenseRequest.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelMedicationPrescription.dispenseRequest.extension","BeModelMedicationPrescription.dispenseRequest.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelMedicationPrescription.dispenseRequest.modifierExtension","BeModelMedicationPrescription.dispenseRequest.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelMedicationPrescription.dispenseRequest.dispenseInterval","BeModelMedicationPrescription.dispenseRequest.dispenseInterval","","","",0,1,"","","","Duration {[]} {[]}
","Minimum period of time between dispenses","Minimum period of time between dispenses","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.dispenseRequest.dispenseInterval",0,1,"",""
"BeModelMedicationPrescription.dispenseRequest.quantityPerDispense","BeModelMedicationPrescription.dispenseRequest.quantityPerDispense","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Amount of medication to supply per dispense","Amount of medication to supply per dispense","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.dispenseRequest.quantityPerDispense",0,1,"",""
"BeModelMedicationPrescription.substitution","BeModelMedicationPrescription.substitution","","","",0,1,"","","","BackboneElement {[]} {[]}
","Whether substitution is allowed, and reason","Whether substitution is allowed, and reason","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.substitution",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelMedicationPrescription.substitution.id","BeModelMedicationPrescription.substitution.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelMedicationPrescription.substitution.extension","BeModelMedicationPrescription.substitution.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelMedicationPrescription.substitution.modifierExtension","BeModelMedicationPrescription.substitution.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelMedicationPrescription.substitution.substitutionallowed","BeModelMedicationPrescription.substitution.substitutionallowed","","","",1,1,"","","","boolean {[]} {[]}
","Substitution of the product is allowed.","Substitution of the product is allowed.","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.substitution.substitutionallowed",1,1,"",""
"BeModelMedicationPrescription.substitution.substitutionReason","BeModelMedicationPrescription.substitution.substitutionReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Coded or Text reason for the no-substitution requirement","Coded or Text reason for the no-substitution requirement","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.substitution.substitutionReason",0,1,"",""
"BeModelMedicationPrescription.offLabel","BeModelMedicationPrescription.offLabel","","","",0,1,"","","","boolean {[]} {[]}
","Off-Label / Dosage Override","Off-Label / Dosage Override","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.offLabel",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"BeModelMedicationPrescription.offLabel.id","BeModelMedicationPrescription.offLabel.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"BeModelMedicationPrescription.offLabel.extension","BeModelMedicationPrescription.offLabel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"BeModelMedicationPrescription.offLabel.value","BeModelMedicationPrescription.offLabel.value","","","",0,1,"","","","boolean {[]} {[]}
","Primitive value for boolean","The actual value","","","","","","","","","",,,,,"",,,,"boolean.value",0,1,"",""
"BeModelMedicationPrescription.offLabel.isOffLabelUse","BeModelMedicationPrescription.offLabel.isOffLabelUse","","","",0,1,"","","","boolean {[]} {[]}
","Off-Label / Dosage Override","Off-Label / Dosage Override","isOffLabelUse and reason are expected to be manually filled by the prescriber, indicating that this dosage is not entered in error. This information is an indication (for example) for the pharmacist to see that there is a justification of the dosage difference.","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.offLabel.isOffLabelUse",0,1,"",""
"BeModelMedicationPrescription.offLabel.reason","BeModelMedicationPrescription.offLabel.reason","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Dosage Override reason","Dosage Override reason","isOffLabelUse and reason are expected to be manually filled by the prescriber, indicating that this dosage is not entered in error. This information is an indication (for example) for the pharmacist to see that there is a justification of the dosage difference.","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.offLabel.reason",1,1,"",""
"BeModelMedicationPrescription.note","BeModelMedicationPrescription.note","","","",0,*,"","","","string {[]} {[]}
","Additional information or comments","Additional information or comments","","","","","","","","","",,,,,"",,,,"BeModelMedicationPrescription.note",0,*,"",""
"BeModelMedicationPrescription.instructionsForReimbursement","BeModelMedicationPrescription.instructionsForReimbursement","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Instructions for reimbursement","Instructions for reimbursement","","","","","","","","","",,"extensible","","https://www.ehealth.fgov.be/standards/fhir/medication/ValueSet/MedicationRequestReimbursementTypeVS","",,,,"BeModelMedicationPrescription.instructionsForReimbursement",0,1,"",""
