"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"be-model-medicationprescription.medication","be-model-medicationprescription.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/be-model-medication]]}
","Prescribed product, branded, generic, virtual, extemporaneous, etc","Prescribed product, branded, generic, virtual, extemporaneous, etc","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.medication",1,1,"",""
"be-model-medicationprescription.indication","be-model-medicationprescription.indication","","","",0,*,"","","","BackboneElement {[]} {[]}
","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.indication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"be-model-medicationprescription.indication.id","be-model-medicationprescription.indication.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"be-model-medicationprescription.indication.extension","be-model-medicationprescription.indication.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.indication.modifierExtension","be-model-medicationprescription.indication.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.indication.reference","be-model-medicationprescription.indication.reference","","","",0,*,"","","","Reference {[]} {[]}
","Reason for the prescription (typically diagnosis, or a procedure)","Reason for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.indication.reference",0,*,"",""
"be-model-medicationprescription.indication.code","be-model-medicationprescription.indication.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason or text for the prescription (typically diagnosis, or a procedure)","Reason or text for the prescription (typically diagnosis, or a procedure)","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.indication.code",0,*,"",""
"be-model-medicationprescription.dosage","be-model-medicationprescription.dosage","","","",1,*,"","","","https://www.ehealth.fgov.be/standards/fhir/medication/StructureDefinition/DosagingInformation {[]} {[]}
","Dosaging and administration instructions","Dosaging and administration instructions","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.dosage",1,*,"",""
"be-model-medicationprescription.dispenseRequest","be-model-medicationprescription.dispenseRequest","","","",0,1,"","","","BackboneElement {[]} {[]}
","Dispense Request or authorization for the prescribed medication","Dispense Request or authorization for the prescribed medication","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.dispenseRequest",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"be-model-medicationprescription.dispenseRequest.id","be-model-medicationprescription.dispenseRequest.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"be-model-medicationprescription.dispenseRequest.extension","be-model-medicationprescription.dispenseRequest.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.dispenseRequest.modifierExtension","be-model-medicationprescription.dispenseRequest.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.dispenseRequest.dispenseInterval","be-model-medicationprescription.dispenseRequest.dispenseInterval","","","",0,1,"","","","Duration {[]} {[]}
","Minimum period of time between dispenses","Minimum period of time between dispenses","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.dispenseRequest.dispenseInterval",0,1,"",""
"be-model-medicationprescription.dispenseRequest.quantityPerDispense","be-model-medicationprescription.dispenseRequest.quantityPerDispense","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Amount of medication to supply per dispense","Amount of medication to supply per dispense","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.dispenseRequest.quantityPerDispense",0,1,"",""
"be-model-medicationprescription.substitution","be-model-medicationprescription.substitution","","","",0,1,"","","","BackboneElement {[]} {[]}
","Substitution is not allowed for a given reason","Substitution is not allowed for a given reason","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.substitution",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"be-model-medicationprescription.substitution.id","be-model-medicationprescription.substitution.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"be-model-medicationprescription.substitution.extension","be-model-medicationprescription.substitution.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.substitution.modifierExtension","be-model-medicationprescription.substitution.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.substitution.substitutionallowed","be-model-medicationprescription.substitution.substitutionallowed","","","",1,1,"","","","boolean {[]} {[]}
","Substitution of the product is not allowed.","Substitution of the product is not allowed.","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.substitution.substitutionallowed",1,1,"",""
"be-model-medicationprescription.substitution.substitutionReason","be-model-medicationprescription.substitution.substitutionReason","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Coded or Text reason for the no-substitution requirement","Coded or Text reason for the no-substitution requirement","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.substitution.substitutionReason",0,1,"",""
"be-model-medicationprescription.offLabel","be-model-medicationprescription.offLabel","","","",0,1,"","","","boolean {[]} {[]}
","Off-Label / Dosage Override","Off-Label / Dosage Override","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.offLabel",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"be-model-medicationprescription.offLabel.id","be-model-medicationprescription.offLabel.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"be-model-medicationprescription.offLabel.extension","be-model-medicationprescription.offLabel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"be-model-medicationprescription.offLabel.value","be-model-medicationprescription.offLabel.value","","","",0,1,"","","","boolean {[]} {[]}
","Primitive value for boolean","The actual value","","","","","","","","","",,,,,"",,,,"boolean.value",0,1,"",""
"be-model-medicationprescription.offLabel.isOffLabelUse","be-model-medicationprescription.offLabel.isOffLabelUse","","","",0,1,"","","","boolean {[]} {[]}
","Off-Label / Dosage Override","Off-Label / Dosage Override","isOffLabelUse and reason are expected to be manually filled by the prescriber, indicating that this dosage is not entered in error. This information is an indication (for example) for the pharmacist to see that there is a justification of the dosage difference.","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.offLabel.isOffLabelUse",0,1,"",""
"be-model-medicationprescription.offLabel.reason","be-model-medicationprescription.offLabel.reason","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Dosage Override reason","Dosage Override reason","isOffLabelUse and reason are expected to be manually filled by the prescriber, indicating that this dosage is not entered in error. This information is an indication (for example) for the pharmacist to see that there is a justification of the dosage difference.","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.offLabel.reason",1,1,"",""
"be-model-medicationprescription.note","be-model-medicationprescription.note","","","",0,*,"","","","string {[]} {[]}
","Additional information or comments","Additional information or comments","","","","","","","","","",,,,,"",,,,"be-model-medicationprescription.note",0,*,"",""
"be-model-medicationprescription.instructionsForReimbursement","be-model-medicationprescription.instructionsForReimbursement","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Instructions for reimbursement","Instructions for reimbursement","","","","","","","","","",,"extensible","Instructions for reimbursement","MedicationRequestReimbursementTypeVS","",,,,"be-model-medicationprescription.instructionsForReimbursement",0,1,"",""
